team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162
POR,,GSW,,NOP,,NOP,sac,,lac,,OKC,phx,,nop,,sas,min,,MEM,,MIN,MIN,,,,ATL,,,okc,,hou,hou,,mem,,ind,SAC,,DAL,,lac,,,UTA,,lal,,,,,SAS,,phx,,DEN,,sas,,dal,,UTA,,DAL,,PHI,,,lal,,mil,,det,,nop,dal,,MIA,,,BKN,,LAC,,HOU,CHI,,mia,,orl,cha,,OKC,,MIL,,ORL,,PHX,,PHX,IND,,SAC,,min,,den,,den,,LAL,,CHA,,uta,,was,,bkn,,cle,phi,,bos,,okc,,DET,gsw,,NYK,,,,TOR,,WAS,MEM,,DEN,,BOS,,CLE,,sac,,,nyk,,atl,,tor,chi,,SAS,,,uta,,GSW,LAL
SAC,,,MIN,,lal,,POR,uta,,,atl,tor,,mia,TOR,,LAC,,phx,sas,,PHX,,MIN,UTA,,ATL,,,,lac,,BKN,OKC,,min,por,,SAS,,HOU,,mem,sas,,UTA,,,,nop,,,,DEN,LAL,,LAL,IND,,,DET,,lal,,DAL,,PHI,,MEM,,gsw,MIA,,,,bos,,chi,,mil,,HOU,,,WAS,,,GSW,den,,nyk,,bkn,,phi,,,okc,,min,,ORL,por,,NOP,,dal,,nop,nop,,GSW,,,CHA,,uta,,,hou,,dal,,den,,SAS,,lac,NYK,,,gsw,phx,,,MEM,,CLE,CHI,,MIL,,BOS,OKC,,POR,,orl,,ind,,was,,cha,,cle,det,,DEN,,LAC,PHX
SAS,,,dal,,HOU,,HOU,,okc,uta,,MIN,,lac,hou,POR,,UTA,,SAC,,WAS,,LAL,dal,,,OKC,,UTA,,GSW,,,uta,LAL,,,sac,,phx,,CHI,SAC,,NOP,,,,,por,,MIN,,ATL,,POR,,phi,nyk,,bkn,,min,,LAC,,,den,DEN,,chi,,mil,,,lal,,lal,,MEM,,MEM,,mia,,,,ind,,IND,,,,LAC,,MIL,MIA,,mem,,atl,,cha,orl,,was,,bos,,PHX,DET,,nop,,nop,hou,,,mem,OKC,,BKN,,,sac,,min,DAL,,DAL,,CHA,NOP,,ORL,,NYK,,PHI,,tor,,det,,cle,,BOS,GSW,,,den,,CLE,,por,,lac,gsw,,phx,TOR
OKC,,,den,,chi,ATL,,,SAS,,por,lac,,ORL,den,,HOU,,GSW,LAC,,NOP,,PHX,,DAL,,sas,POR,,,,,sac,,gsw,lal,,hou,,UTA,,tor,,nop,,,DAL,,,,HOU,,,orl,mia,,,WAS,,ind,,cha,MEM,,MIN,,LAC,NYK,,BOS,,,cle,,nyk,,was,,phi,,CLE,dal,,BKN,,,UTA,DAL,,,por,,,gsw,,,SAC,,MIL,,PHX,,TOR,mem,,NOP,,MIA,min,,uta,,min,MIN,,bkn,,atl,,sas,HOU,,mem,,POR,,DEN,DEN,,bos,,,det,mil,,,PHI,,CHA,,lac,,sac,,MEM,,IND,,CHI,,DET,,hou,,LAL,,LAL,phx,,uta,nop
TOR,,CLE,,PHI,min,,DEN,,cha,,LAL,SAC,,den,sac,,,lac,lal,,mil,,,DET,bos,,IND,,,MIN,,,cle,det,,nop,mia,,MIA,,IND,,OKC,,DAL,,NYK,,,mia,,,,CHI,BKN,,,HOU,nyk,,mem,,,ATL,,bos,BKN,,ORL,,,MIL,,nyk,cle,,det,,GSW,,BOS,,mil,,,,ORL,,atl,,atl,,NOP,,was,,CHI,,LAC,,NYK,MEM,,okc,,hou,,phi,CLE,,,MIA,,PHX,,BOS,ind,,chi,,orl,,orl,,,UTA,WAS,,WAS,,PHI,,uta,,por,phx,,gsw,,,,SAS,was,,bkn,,CHA,,phi,,chi,,POR,DET,,bkn,,,CHA,,dal,sas
UTA,,MEM,,GSW,,,dal,SAC,,SAS,,den,,chi,,mil,,sas,,,PHX,,DAL,,sac,lac,,lal,,sas,,NYK,,,SAS,DEN,,DAL,LAL,,okc,,,por,,sac,,,,,PHX,,,lac,det,,bkn,,cle,,por,,PHI,,DEN,,nyk,,,mia,orl,,ATL,,MIA,,phx,BKN,,,CHA,,nop,,,nop,,okc,WAS,,mem,,MIL,gsw,,MIN,,ORL,,IND,,GSW,,phx,lac,,,lal,LAL,,,OKC,HOU,,POR,,SAC,,MIN,,NOP,DET,,was,,tor,,phi,bos,,mem,,TOR,,min,CHI,,LAC,,BOS,,CLE,,MEM,,HOU,den,,,cha,,hou,,ind,,atl,,,POR,,OKC,min
MEM,,uta,,hou,ORL,,CHI,,BKN,MIL,,phi,,bkn,LAL,,WAS,,por,,,lal,,gsw,,DEN,,DEN,PHI,,,chi,,POR,,DET,NOP,,IND,,dal,,SAC,,bos,was,,,,,BKN,,lal,,GSW,,atl,,LAC,,TOR,nop,,okc,,phx,,,sac,gsw,,DAL,,,HOU,,min,,hou,,sas,,sas,,,MIN,,CHA,,NOP,UTA,,nyk,,,HOU,,,mil,SAS,,tor,,,OKC,,,phx,lac,,ind,orl,,cle,,PHX,,,NYK,SAS,,ATL,,OKC,,dal,,nop,PHX,,UTA,,CLE,MIA,,sac,,por,,lac,,,,uta,,okc,,LAL,,BOS,GSW,,mia,,det,,,cha,,MIN,den,DAL
WAS,,,BOS,,CLE,,atl,,ATL,,,MIA,,GSW,,,mem,,orl,hou,,sas,,atl,,DET,nyk,,,,BOS,,ind,,CHI,LAC,,mil,,,cle,,DAL,,DEN,MEM,,,,,cle,,BOS,,CHA,,mil,,okc,,CHA,,NYK,,NYK,,CHI,,nop,,NOP,,HOU,phi,,chi,,OKC,MIN,,,PHX,,gsw,sac,,lal,,uta,,phx,,dal,,TOR,LAL,,min,,cha,,bkn,,CLE,ATL,,SAS,,IND,,,MIL,,orl,BKN,,POR,,,cha,,mia,,UTA,,,tor,,tor,det,,det,,den,lac,,por,,,ORL,nyk,,TOR,,phi,IND,,BKN,,MIA,,SAC,ORL,,,bos,,ind,PHI,,chi,mia
DET,,IND,,cle,BOS,,mia,,phi,,NYK,,bkn,LAL,cha,,ATL,,HOU,,MIA,mil,,tor,,was,CHI,,,cha,,orl,,TOR,,mem,ind,PHI,,,MIL,bos,,,nyk,,,,,bos,,,,MIA,UTA,,phx,,lal,,sac,,den,,,,ORL,,CHA,MIN,,POR,,bkn,GSW,,TOR,,nyk,,,IND,,PHX,,hou,,atl,,,orl,,cle,,ind,,DAL,,CHI,ATL,,CLE,,PHI,,CHA,,chi,chi,,,sas,,atl,LAC,,BOS,,DEN,BKN,,uta,,lac,,,gsw,por,,WAS,,WAS,,OKC,,nop,,mia,,dal,,NOP,,SAS,,,CLE,,min,,,okc,,tor,MEM,,SAC,,,NYK,MIL,mil
CHA,,hou,,atl,MIA,,,,TOR,,BOS,BOS,,min,DET,,IND,,phi,,orl,,,,MIL,cle,,bkn,,DET,,mil,,ORL,,MIA,NYK,ATL,,,PHI,,nyk,,CLE,ind,,,,,chi,,,PHI,was,phi,,,HOU,,was,,OKC,,CHI,,,,det,,cle,,PHX,,lal,,lac,phx,,,uta,,chi,,,DAL,,mem,,POR,NOP,,LAL,,BKN,,LAC,DEN,,WAS,,MIL,,SAS,,det,bkn,,orl,,den,,por,,sac,gsw,,dal,,WAS,,GSW,,MIN,,CLE,BKN,,mia,,atl,,sas,,,,ATL,,NYK,okc,,mia,,ORL,,,tor,,nop,UTA,,ind,,SAC,,CHI,,MEM,tor,,bos,bos
